sNo	Company Name	Full Company Name	News Title	News Article	News Summary	NewsDate
15	APOLLOHOSP	Apollo Hospitals Enterprise Ltd	Apollo Hospitals, Hudco, Gokex & Westlife Food: Axis Securities’ top 4 picks that may jump up to 22% in a month	"Domestic brokerage firm Axis Securities has picked up four stocks, namely- Apollo Hospitals, Housing & Urban Development Corporation (Hudco), Gokaldas Exports, and Westlife Foodworld - in its weekly report. The brokerage believes that the technical patterns and parameters for these stocks are sound and they are poised for a strong upside of up to 22 per cent in the next one month. Here's what Axis Securities said about these stocks:



Apollo Hospitals Enterprise | Buy | Target Price: 5,355-5,500 | Stop Loss: Rs 4,630 | Upside: 10-13%

Apollo Hospitals, on the weekly charts, has decisively broken out above the 'cup and handle' pattern at Rs 4,900 level. The breakout is accompanied by an increase in volume confirming participation at the breakout level The stock is well placed above 20, 50 and 100 daily SMA indicating positive momentum. The weekly strength indicator RSI is in bullish mode and the daily RSI crossover above its reference line generated a buy signal. The above analysis indicates an upside of Rs 5,355-5,500 levels.



Gokaldas Exports | Buy | Target Price: 490-510 | Stop Loss: Rs 415 | Upside: 11-16%

Gokaldas Exports on the weekly chart has decisively broken out above the medium-term 'symmetrical triangle' pattern at Rs 415 with a strong bullish candle indicating positive momentum. The weekly 'Bollinger band' generated a buy signal as the stock closed above the upper Bollinger Band. The stock holds above 50 per cent Fibonacci Retracement of a rally from Rs 75-520 placed at Rs 297 forming a medium-term support zone. The weekly strength indicator RSI is holding above its reference line indicates positive momentum. The above analysis indicates an upside of Rs 490-510 levels



Housing & Urban Development Corporation | Buy | Target Price: 69-72| Stop Loss: Rs 52 | Upside: 17-22%

Hudco on the weekly chart has decisively broken out above the medium-term 'cup and handle' pattern at Rs 59 with bullish candle strong indicating an uptrend. The stock is forming a higher high-low formation on a weekly chart indicating positive momentum. The weekly strength indicator RSI is holding above its reference line indicates positive momentum. The above analysis indicates an upside of Rs 69-72 levels



Westlife Foodworld | Buy | Target Price: 929-955 | Stop Loss: Rs 761 | Upside: 14-17%

Westlife Foodworld on the weekly chart broken out above the 'rounded bottom' pattern at Rs 815 level indicating a positive trend. The breakout is accompanied by an increase in volume confirming participation at the breakout level. The stock is moving in a rising channel in the medium term. Recently it received medium-term support. Recently it took support at the lower band of the channel and bounced back. It is heading towards the upper band of the channel. The weekly strength indicator RSI is holding above its reference line indicates positive momentum. The above analysis indicates an upside of Rs 929-955 levels.



(Disclaimer: Recommendations, suggestions, views and opinions given by the experts are their own. These do not represent the views of Business Today)

Also read: Reliance Industries, ITC, ICICI Bank, Maruti Suzuki among largecap shares that analysts like post Q4 results

Also read: Paytm shares operating performance for May; disbursements at Rs 5,502 crore"	"Domestic brokerage firm Axis Securities has picked up four stocks, namely- Apollo Hospitals, Housing & Urban Development Corporation (Hudco), Gokaldas Exports, and Westlife Foodworld - in its weekly report.
The weekly strength indicator RSI is holding above its reference line indicates positive momentum.
The stock is forming a higher high-low formation on a weekly chart indicating positive momentum.
The weekly strength indicator RSI is holding above its reference line indicates positive momentum.
The weekly strength indicator RSI is holding above its reference line indicates positive momentum."	6 hours ago
15	APOLLOHOSP	Apollo Hospitals Enterprise Ltd	Hot Stocks | Bet on Apollo Hospitals Enterprises, HUDCO for short term	"Stocks

live bse live

nse live Volume Todays L/H More ×

The Nifty ended the lacklustre week marginally in the green and importantly a tad above the psychological 18,500 mark. The way markets took a leap at the opening last Monday, we expected the broader benchmark to challenge 18,700. So, it was certainly a disappointing behaviour of major indices as the week progressed.

Technically speaking, the upside gap area has been filled and Nifty has retested the breakout points twice during the week. In addition, due to Friday’s price action, the ‘Inside Bar’ candle is clearly visible on the daily time frame chart.

Going ahead, if global markets support, we can construe last week’s price development as a pullback and from here on, we may see the Nifty resuming its upwards trajectory in the current week. This view remains valid as long as cluster of support around 18,460 – 18,400 – 18,330 is not violated on a closing basis in the next couple of sessions.

On the flipside, the sturdy wall is visible around 18,600 – 18,670 and the moment it’s surpassed, we may see all-time high getting challenged soon. This seems possible considering the buoyancy in the broader market. The Mid and Small cap baskets remained active throughout last week, indicating improved sentiments in the market.

Hence, we advise traders not to get carried away by such small declines. Broadly, we are in a strong uptrend and it’s advisable to focus on the larger picture.

Here are two buy calls for the short term:

HUDCO: Buy | LTP: Rs 61.35 | Stop-Loss: Rs 57.80 | Target: Rs 68 | Return: 11 percent

Housing & Urban Development Corporation (HUDCO) has witnessed strong moves in the last couple of trading sessions which were backed by robust volumes. The recent price-volume action construes a positive development in the chart structure as it clocked a new 52-week high.

Also, on the momentum oscillator front, we witnessed a positive crossover in the RSI (relative strength index), which may provide the much-needed impetus for the next leg of the rally.

Based on the above evidences, we recommend buying for a trading target of Rs 68. The stop-loss can be placed at Rs 57.80.

Apollo Hospitals Enterprises: Buy | LTP: Rs 4,967.30 | Stop-Loss: Rs 4,820 | Target: Rs 5,250 | Return: 6 percent

Recently, the entire Healthcare space has been buzzing and seems to be finding its mojo back. Along with pharmaceutical companies, ‘Apollo Hospitals’ too performed well throughout this week.

On Friday, we finally witnessed a massive breakout from the 15-month long ‘Ascending Triangle’ pattern on the daily chart. If we look at the volume activity, it has been rising continuously in the recent run.

The stock is now well poised for a much stronger move in the longer horizon. However, in the near term, we expect the stock to move towards Rs 5,250. The strict stop-loss needs to be placed at Rs 4,820.

Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions."	"Technically speaking, the upside gap area has been filled and Nifty has retested the breakout points twice during the week.
In addition, due to Friday’s price action, the ‘Inside Bar’ candle is clearly visible on the daily time frame chart.
Based on the above evidences, we recommend buying for a trading target of Rs 68.
Apollo Hospitals Enterprises: Buy | LTP: Rs 4,967.30 | Stop-Loss: Rs 4,820 | Target: Rs 5,250 | Return: 6 percentRecently, the entire Healthcare space has been buzzing and seems to be finding its mojo back.
Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management."	17 hours ago
17	AXISBANK	Axis Bank Ltd	June stock picks: SBI, Ashok Leyland, TCS, ITC among shares that analysts picked this month	"A few banking names inluding SBI, ICICI Bank and HDFC Bank; FMCG major ITC and IT giant TCS are among stocks that analysts recommended for June. The March quarter earnings season concluded on a firm note, with earnings beat-to-miss ratio standing at 1.5:1, above Street estimates, even there were some disappointments were the IT sector. Analysts said the market positioning has now slightly shifted towards banks and domestic-cyclical stocks. Domestic plays of FMCG, auto, hospitals, and industrials have slowly started outperforming the market, they noted.

In its June note, Axis Securities said it likes ICICI Bank, Maruti Suzuki India, State Bank of India (SBI),

Dalmia Bharat, Federal Bank, Varun Beverages and Ashok Leyland, among others. PNC infra, ITC, Aarti Drugs, Relaxo, Mahindra CIE, Praj Industries, CCL Products (India), Polycab India, and CreditAccess Grameen are among other stocks that the brokerage likes.

HDFC Bank, ICICI Lombard, Coromandel International are Ashika Stock Broking's top three picks for June.

""We have reviewed our past recommendations and have taken a conscious call to increase/ADD further positions in companies which appear attractive at this point of time and the ones which have strong cash flows, brand recall and healthy balance sheet. Accordingly, we have decided to increase position in HDFC Bank and ICICI Lombard General Insurance Co amongst earlier recommended stocks and have taken up fresh position in Coromandel International,"" it said.

In its technical note for June, ICICIdirect said it likes Kotak Mahindra Bank, Axis Bank, SBI, IDFC First Bank, L&T Finance and M&M Financial among banking and financial stocks. It likes Tata Motors, Maruti Suzuki, Eicher Motors among auto stocks; Hindustan Aeronautics, BEL, Bharat Dynamics, Coal India and ONGC among PSUs and Reliance Industries, TCS and HCL Tech among IT and telecom sectors. The brokerage also likes ITC, Marico and Titan on the FMCG sector, on technical basis.

A host of brokerages also came out with notes on preferred stocks in June. The reports are based on March quarter performance. Among large cap stocks, Nomura India likes ICICI Bank, Hindustan Unilever, Mahindra & Mahindra, Larsen & Toubro and Reliance Industries. Its least preferred largecap stocks included Maruti Suzuki, TCS, Eicher Motors and Bajaj Finance.

ITC, ICICI Bank, Bajaj Finance, HCL Technologies, Titan Company, Sun Pharma, ONGC, M&M and UltraTech Cement are among stocks that Motilal Oswal Securities prefer in the largecap pack.

Phillip Capital has upgraded stocks such as Tata Steel, Hero MotoCorp, NMDC and Sun Pharma to buy; it upgraded JSW Energy to neutral.

Also read: Reliance Industries, ITC, ICICI Bank, Maruti Suzuki among largecap shares that analysts like post Q4 results

Also read: Paytm shares operating performance for May; disbursements at Rs 5,502 crore"	"A few banking names inluding SBI, ICICI Bank and HDFC Bank; FMCG major ITC and IT giant TCS are among stocks that analysts recommended for June.
In its June note, Axis Securities said it likes ICICI Bank, Maruti Suzuki India, State Bank of India (SBI),Dalmia Bharat, Federal Bank, Varun Beverages and Ashok Leyland, among others.
HDFC Bank, ICICI Lombard, Coromandel International are Ashika Stock Broking's top three picks for June.
Among large cap stocks, Nomura India likes ICICI Bank, Hindustan Unilever, Mahindra & Mahindra, Larsen & Toubro and Reliance Industries.
Also read: Reliance Industries, ITC, ICICI Bank, Maruti Suzuki among largecap shares that analysts like post Q4 resultsAlso read: Paytm shares operating performance for May; disbursements at Rs 5,502 crore"	6 hours ago
17	AXISBANK	Axis Bank Ltd	Stock Market Today: Sensex, Nifty Advance For The Second Day As Auto Stocks Gain; Axis Bank, M&M Lead	"Indian equity benchmarks held on to gains through Monday after slipping marginally ahead of closing. Nifty Auto Index was the top sectoral gainer and hit a record high in trade, while the Nifty FMCG Index pared gains after hitting an all-time high for the seventh straight session. Axis Bank Ltd., Mahindra & Mahindra Ltd. and ICICI Bank Ltd. led the gains on the indices.

The headline indices were trading in a bull market on Monday after the S&P 500 Index inched closer to it on Friday. Sensex advanced 23.3%, whereas, NSE Nifty 50 was up 22.5% from its low on June 17, 2022, implying that the indices were already trading in a bull market. Generally, this occurs when there is a rise of 20% or more in the market indices over a two-month period.

U.S. futures were steady after Friday’s U.S. payroll data helped take the underlying S&P 500 to the cusp of a bull market.

In Europe, stocks edged higher, following gains for benchmarks in Asia. In Tokyo, the Nikkei 225 climbed as much as 2%, headed for its highest close since July 1990, helped by a sharp weakening of the yen last week. The S&P 500 closed just a few points away from entering a bull market on Friday — a level which would see it rising 20% from its October low.

The S&P BSE Sensex Index was up 240 points or 0.38% at 62,787.47 while the NSE Nifty 50 Index was 60 points or 0.32% at 18,593.85."	"Nifty Auto Index was the top sectoral gainer and hit a record high in trade, while the Nifty FMCG Index pared gains after hitting an all-time high for the seventh straight session.
The headline indices were trading in a bull market on Monday after the S&P 500 Index inched closer to it on Friday.
Generally, this occurs when there is a rise of 20% or more in the market indices over a two-month period.
U.S. futures were steady after Friday’s U.S. payroll data helped take the underlying S&P 500 to the cusp of a bull market.
The S&P 500 closed just a few points away from entering a bull market on Friday — a level which would see it rising 20% from its October low."	6 hours ago
17	AXISBANK	Axis Bank Ltd	Companies take pride in engaging more LGBTQIA+ talent	"As India Inc sharpens its focus on diversity, leading companies are championing LGBTQIA+ inclusion at work.Companies such as Capgemini, Axis Bank NatWest Group , Flipkart, Schneider Electric and Tata Steel are focusing on hiring, retaining and building a talent pool of lesbian, gay, bisexual, transgender, queer, intersex and asexual (LGBTQIA+) people, accelerating their efforts in the ongoing Pride Month.""Creating a progressive culture with diversity and inclusion at heart is the key to attracting, retaining, and growing the best talent,"" said Sreya Ghosh Oberoi, senior director, diversity and inclusion-India, Capgemini.This year, Capgemini has introduced gender affirmation surgery leave of 30 days to recuperate. In March, it initiated the OUTfront core committee with business sponsors and steering members across grades and business units to come together regularly to design and implement inclusion initiatives. In the coming months, it plans to launch a gender transition guideline to help human resources executives, managers and employees support transitioning employees in their teams.At Axis Bank, Pride 365, the pride and allies' group, has grown to 423 employees from 13 employees in 2021. The private sector lender is planning a fresh uptake of transgender employees with a social partner in the next few months. Inclusiveness has been built into aspects such as dress code and sexuality education imbibed in induction sessions.The bank has also certified around 500 students through a certification course on 'Building and Leading Inclusive Organisations', which focuses on creating the next generation of leaders in diversity, equity and inclusion.""Many, if not all, people who identify as LGBTQIA+ have faced years of ignominy and ostracisation. In many cases, their mere existence is a sign of resilience,"" said Harish Iyer, head, diversity, equity and inclusion, Axis Bank. ""This energy expends itself in creative form that is unafraid to think differently or to challenge the status-quo. These are exactly the skills that are needed to add a competitive edge over other players.""NatWest Group is launching the ‘All-inclusive Mentoring Program ’, designed to provide its leadership team with insights into actions needed to attract and develop LGBTQ+ talent and help them thrive.“We have onboarded several LGBTQ+ employees through partnerships with Pride Circle and PeriFerry . Our TRANSpire programme is a fully-paid on-the-job training programme that allows members of the transgender community to be employed with us and make them corporate-ready,” said Tania Chatterjee, head, diversity, equity and inclusion, NatWest Group India Besides extending its policies to cover LGBTQ+ members, the group organises activities such as the Rainbow Bazaar, supporting entrepreneurs from the community. More than 11,000 of its employees have voluntarily completed the LGBTQ+ awareness module.Tata Steel has recruited more than 100 LGBTQ+ individuals over the past two years and has recently started focused recruitment drives for the community. It has hired members of the community for both white-collar and blue-collar roles, ranging from shop floor operations, heavy earth moving machinery operators to office jobs.“The success of our hiring efforts is pivoted on the fact that business units are taking the lead in identifying positions/ roles to scale up the hiring efforts,” said a Tata Steel spokesperson.Krishna Raghavan, chief people officer, Flipkart, said over the past few years the company has hired several individuals from the LGBTQIA+ community across roles in business, marketing, supply chain and last-mile delivery.The e-commerce firm conducts sensitisation sessions for leaders, people managers and employees. It has also given employees an option to update their pronouns – choice between male, female, non-binary, transgender, and undeclared – within the intranet.The Global LGBTQI+ Employees and Allies at Microsoft employee resource group partners with executive leadership teams to implement corporate diversity initiatives. It also provides consulting for product development groups, and support and mentorship in career and personal growth for LGBTQI+ employees.“Through employee networks, progressive and enabling policies, and inclusive culture, our goal is to attract, promote and retain LGBTQ+ employees, with a focus on networking, professional development, community involvement and business outreach,” said Binu Philip, chief human resource officer for the Greater India Zone at Schneider Electric."	"In March, it initiated the OUTfront core committee with business sponsors and steering members across grades and business units to come together regularly to design and implement inclusion initiatives.
The private sector lender is planning a fresh uptake of transgender employees with a social partner in the next few months.
""Many, if not all, people who identify as LGBTQIA+ have faced years of ignominy and ostracisation.
In many cases, their mere existence is a sign of resilience,"" said Harish Iyer, head, diversity, equity and inclusion, Axis Bank.
""NatWest Group is launching the ‘All-inclusive Mentoring Program ’, designed to provide its leadership team with insights into actions needed to attract and develop LGBTQ+ talent and help them thrive.“We have onboarded several LGBTQ+ employees through partnerships with Pride Circle and PeriFerry ."	2 days ago
18	AUROPHARMA	Aurobindo Pharma Ltd	Aurobindo Pharma’s Reddy turns approver in Delhi excise case	"Aurobindo Pharma Director Sarath P Reddy has turned approver after a Rouse Avenue court on Thursday accepted Enforcement Directorate’s (ED) plea to pardon him in the Delhi excise case. ED argued that the Hyderabad-based businessman will voluntarily offer full disclosure of irregularities committed in framing and executing of the liquor policy allegedly tinkered to favour a few entities and politicians.

Rouse Avenue Court’s Special Judge MK Nagpal allowed Reddy to turn approver in the case, which the agency believed would help them in getting into the bottom of the scam. Reddy was allegedly key to “South Group” that had paid ₹100 crore to AAP, which was used to fund its Goa elections.

Like the other accused including former Delhi Deputy Chief Minister Manish Sisodia, he was also accused of destroying digital evidence, such as those available on mobile phones, to scuttle the probe against him, the ED had earlier alleged.

Reddy was by default controlling five retail zones through his group company Trident Chemphar Pvt Ltd and proxies, violating the norms that discouraged cartelisation. He was earlier- granted regular bail by the Delhi High Court on medical grounds.

The ED is probing money laundering aspect of the liquor scam, which the CBI was first to unravel by registering an FIR. The CBI, however, chose Delhi-based businessman Dinesh Arora for approver in its case which was granted by Special Judge MK Nagpal last November. Arora, an associate of Sisodia, who is behind the bars, allegedly managed the money collected from the excise scam.

Both the agencies have filed chargesheet in the case."	"Aurobindo Pharma Director Sarath P Reddy has turned approver after a Rouse Avenue court on Thursday accepted Enforcement Directorate’s (ED) plea to pardon him in the Delhi excise case.
Rouse Avenue Court’s Special Judge MK Nagpal allowed Reddy to turn approver in the case, which the agency believed would help them in getting into the bottom of the scam.
Reddy was allegedly key to “South Group” that had paid ₹100 crore to AAP, which was used to fund its Goa elections.
The CBI, however, chose Delhi-based businessman Dinesh Arora for approver in its case which was granted by Special Judge MK Nagpal last November.
Arora, an associate of Sisodia, who is behind the bars, allegedly managed the money collected from the excise scam."	4 days ago
18	AUROPHARMA	Aurobindo Pharma Ltd	Hold Aurobindo Pharma; target of Rs 665: KR Choksey	"hold

live bse live

nse live Volume Todays L/H More ×

KR Choksey's research report on Aurobindo Pharma

In Q4FY23, Aurobindo reported a revenue of INR 64,730 Mn (+11.04% YoY and +1.0% QoQ) driven by healthy growth in US/ ROW markets and the API business. For FY23, the company reported a revenue of INR 2,48,553.8 Mn. During the quarter, EBITDA grew by 2.9% YoY and 5% QoQ to INR 10,022 Mn. The margins contracted by 129 bps YoY to report to 15.5%(+59 bps QoQ), the dip in the margins was as a result of change in product mix and one off expenses of INR 400-450 mn. The net profit for the quarter stood at INR 5,109 Mn (-11.4% YoY and +4.1% QoQ). The net profit margins contracted by 203bps YoY( +23bps QoQ) .EPS during the quarter stood at INR 8.6 against INR 8.2 in Q3FY23 and INR 9.8 in Q4FY22.



Outlook

The stock is currently trading at 13.2x/11.8x of our estimated FY24E/FY25E EPS. We assign a P/E multiple of 12.0x on FY25E EPS of INR 55.4 to arrive at a Target Price (TP) of INR 665 (earlier TP INR 626) and revised the recommendation from ‘Accumulate’ to ‘Hold’, as the upside potential is 1.3% from its CMP of INR 657.

For all recommendations report, click here

Disclaimer: The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.

Aurobindo Pharma - 01 -06 - 2023 - kr"	"For FY23, the company reported a revenue of INR 2,48,553.8 Mn.
During the quarter, EBITDA grew by 2.9% YoY and 5% QoQ to INR 10,022 Mn.
The net profit for the quarter stood at INR 5,109 Mn (-11.4% YoY and +4.1% QoQ).
The net profit margins contracted by 203bps YoY( +23bps QoQ) .EPS during the quarter stood at INR 8.6 against INR 8.2 in Q3FY23 and INR 9.8 in Q4FY22.
We assign a P/E multiple of 12.0x on FY25E EPS of INR 55.4 to arrive at a Target Price (TP) of INR 665 (earlier TP INR 626) and revised the recommendation from ‘Accumulate’ to ‘Hold’, as the upside potential is 1.3% from its CMP of INR 657."	4 days ago
18	AUROPHARMA	Aurobindo Pharma Ltd	Hold Aurobindo Pharma; target of Rs 716: Sharekhan	"hold

live bse live

nse live Volume Todays L/H More ×

Sharekhan's research report on Aurobindo Pharma

Aurobindo Pharma Limited (Aurobindo) reported a mixed Q4 as it outperformed on the revenue front. The company reported in-line performance on the operating profits front but underperformed on a net income basis The company has been witnessing stronger growth in the U.S., Europe, growth markets, and APIs. The company has been seeing stabilisation in gross margins over the last three quarters. We believe the upside potential to the operating profitability is stronger, given the series of feasible drivers such as differentiated product launches, including gRevlimid, PenG, Biosimilars, expected continued growth in injectables, and regular new product launches in the U.S. likely over FY2024E-FY2025E.



Outlook

We maintain HOLD with a revised PT of Rs. 716. The company’s shares are trading at ~13.0x/11.9x its FY2024E/FY2025E EPS, in line with its historical P/E.

For all recommendations report, click here

Disclaimer: The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.

Aurobindo Pharma - 30 -05 - 2023 - khan"	"holdlive bse livense live Volume Todays L/H More ×Sharekhan's research report on Aurobindo PharmaAurobindo Pharma Limited (Aurobindo) reported a mixed Q4 as it outperformed on the revenue front.
The company reported in-line performance on the operating profits front but underperformed on a net income basis The company has been witnessing stronger growth in the U.S., Europe, growth markets, and APIs.
OutlookWe maintain HOLD with a revised PT of Rs.
The company’s shares are trading at ~13.0x/11.9x its FY2024E/FY2025E EPS, in line with its historical P/E.
Aurobindo Pharma - 30 -05 - 2023 - khan"	4 days ago
19	ASIANPAINT	Asian Paints Ltd	Hot Stocks: Brokerage view on Amber Enterprises, AU Small Finance and Asian Paints	Brokerage firm Jefferies maintained a buy rating on Amber Enterprises , Motilal Oswal downgraded AU Small Finance Bank to neutral and JPMorgan maintained a neutral rating on Asian Paints We have collated a list of recommendations from top brokerage firms from ETNow and other sources:Jefferies maintained a buy rating on Amber Enterprises with a target price of Rs 3,120.“The domestic AC industry is likely poised for multi-year growth. Diversification would mitigate sales seasonality,” it said.“The peak capex is likely behind the company and the Return on Capital Employed (RoCE) is likely to rise towards ~19% by FY26,” it added.MOSL downgraded AU Small Finance Bank to neutral with a target price of Rs 830. “The business momentum remains steady,” it said.The global investment bank remains watchful of margins, and rising cost of funds is likely to weigh on the margins.“Earnings to clock 28% CAGR over FY23- 25E v/s 37% CAGR over FY18-23. The near-term growth opportunities are fairly priced after the recent outperformance. The current risk-to-reward ratio is unattractive after the recent stock performance, “ it said.JPMorgan maintained a neutral rating on Asian Paints with a target price of Rs 3128. According to brokerage, the management’s confidence remains high to achieve healthy revenue growth (volume-led) over the medium term.“Enhanced focus on distribution expansion, waterproofing, economy emulsions, and innovation. Home décor foray is strategic; target ~8- 10% revenue salience by FY26,” it said.“Reiteration of 18-20% EBITDA margin guidance for the medium term. There is a need to stay competitive and investments for widening portfolio and customer reach,” it added.(Disclaimer: Recommendations, suggestions, views, and opinions given by experts are their own. These do not represent the views of Economic Times)	"Diversification would mitigate sales seasonality,” it said.“The peak capex is likely behind the company and the Return on Capital Employed (RoCE) is likely to rise towards ~19% by FY26,” it added.MOSL downgraded AU Small Finance Bank to neutral with a target price of Rs 830.
The current risk-to-reward ratio is unattractive after the recent stock performance, “ it said.JPMorgan maintained a neutral rating on Asian Paints with a target price of Rs 3128.
According to brokerage, the management’s confidence remains high to achieve healthy revenue growth (volume-led) over the medium term.“Enhanced focus on distribution expansion, waterproofing, economy emulsions, and innovation.
Home décor foray is strategic; target ~8- 10% revenue salience by FY26,” it said.“Reiteration of 18-20% EBITDA margin guidance for the medium term.
There is a need to stay competitive and investments for widening portfolio and customer reach,” it added."	6 days ago
20	AUBANK	AU Small Finance Bank Ltd	Hot Stocks: Brokerage view on Vedanta, AU Small Finance Bank, Info Edge and Hindalco	Brokerage firm JPMorgan downgraded Vedanta to a neutral rating, maintained underweight stance on Hindustan Zinc and retained overweight on Hindalco Citi downgraded AU Small Finance Bank to neutral and Macquarie has an underperform rating on Info Edge JPMorgan downgraded Vedanta to neutral from overweight earlier and has also slashed its 12-month target price to Rs 280 from Rs 350.The global investment bank maintained an underweight rating on Hindalco but slashed its target price to Rs 205 from Rs 235 earlier.“A sharp decline in the LME zinc prices drives 23% EPS cuts for FY 24/25. FY24 is likely to be a challenging year for Vedanta if LME Zinc and aluminum prices do not recover,” it said.“We expect the dividend payout to remain elevated given the debt repayments at an unlisted parent,” it added.Citi downgraded AU Small Finance Bank to neutral with a target price of Rs 765.“The net interest income (NII) growth is estimated at 22%. Yield improvement is unlikely to be meaningful,” it said.“Downgrade on valuations, and from a fundamental perspective, upside levers are limited. Credit costs to normalize, and overhead costs elevated on investments,” it added.Macquarie maintained an underperform rating on InfoEdge with a target price of Rs 3000.According to the brokerage, recruitment profitability is at its peak, and the growth rate is likely to moderate while other verticals will see a long road to profitability. “We expect underperformance also owing to markdown risk for the investment book,” said the note.The global investment bank added Info Edge to Macquarie's Asia Marquee Sell list.JPMorgan maintained an overweight rating on Hindalco with a target price of Rs 490.“Novelis has broadly contracted out the entire beverage can capacity at its upcoming plant. The near-term earnings are strong for Hindalco,” it said.“We continue to see Hindalco trade in a wide range (Rs 350-500) over the next 1-2 years, given heavy capex. We believe that at current levels, the risk-reward is favorable,” it added.(Disclaimer: Recommendations, suggestions, views and opinions given by the experts are their own. These do not represent the views of Economic Times)	"Yield improvement is unlikely to be meaningful,” it said.“Downgrade on valuations, and from a fundamental perspective, upside levers are limited.
The near-term earnings are strong for Hindalco,” it said.“We continue to see Hindalco trade in a wide range (Rs 350-500) over the next 1-2 years, given heavy capex.
We believe that at current levels, the risk-reward is favorable,” it added.
(Disclaimer: Recommendations, suggestions, views and opinions given by the experts are their own.
These do not represent the views of Economic Times)"	14 hours ago
20	AUBANK	AU Small Finance Bank Ltd	AU Bank enters Jefferies India portfolio, CAMS exits; Here’s why Chris Wood is taking contra bets?	"Chris Wood, the Global Head of Equity Strategy of Jefferies, has added AU Small Finance Bank to his India portfolio, with a 3 per cent weightage. Just a week earlier, the global stock guru had added food delivery platform Zomato to his India portfolio with a 4 per cent weight.



AU Small Finance Bank will be part of GREED & Fear's long-only India portfolio. He has replaced the private lender by slashing the investment in Computer Age Management Services (CAMS). Subsequently, the lending sector has a total weightage of 35 per cent in Wood's portfolio after the addition of AU Small Finance Bank.



Shares of CAMS dropped about 2 per cent to Rs 2198.15 on Friday, while AU Small Finance Bank was trading about 2 per cent up at Rs 778.85 during the session.



AU Small Finance Bank stock has delivered healthy returns of over 40 per cent over the past two months, but we see a robust growth opportunity for the bank in the long term and believe the stock can be a compounder if the bank continues to execute well, near-term growth opportunities are fairly priced in after the recent outperformance, said Motilal Oswal.



""Loan growth is likely to remain steady. While the management has shown strong execution prowess and we believe the long-term growth story remains intact, we find the current risk-reward unattractive after the recent stock performance. We, thus, downgrade the rating to Neutral with a target price of Rs 830,"" it added.



HDFC Securities and Dalal & Broacha had 'sell' ratings on AU Small Finance Bank in April after its Q4 earnings with a target price of Rs 580 and Rs 569, respectively. However, Axis Securities and ICICI Securities have 'buy' ratings on the stock but their targets have been met since.



GREED & Fear observed that banks and finance companies, known as the lending sectors, account for nearly 36 per cent of the Nifty 50 index, compared to 24 percent for the MSCI India index.



""This means that from the standpoint of domestic fund managers who measure their performance against the Nifty, GREED & fear is underweight the lending sectors in long-only India portfolio, even though it is overweight in the Asia ex-Japan and global long-only portfolio,"" the note said.



The 'long' portfolio means shares with buy recommendations, while the 'short' portfolio is for selling the shares and buying them later, on corrections, to make profits.



India's lending sector accounts for 32 per cent of the India long-only portfolio, 19 per cent of the Asia ex-Japan long-only portfolio and 14 per cent of the global portfolio of Jefferies.



Wood had earlier highlighted that India's asset management story is the most promising domestic asset management story globally. However, removing Computer Age Management Services within a few days after this came as a shocker to the markets.



""It might seem odd to remove CAMS which is a long-term play on the development of the asset management industry,"" he said. Still, GREED & Fear has discovered this week that the mutual fund industry faces regulatory headwinds which, if implemented, will increasingly damage the profits of what is a clear success story, he added.



ICICI Securities and Motilal Oswal had a 'buy' rating on Computer Age Management Services in early May with a target price of Rs 2,413 and Rs 2,600, respectively. However, HDFC Securities had suggested 'reducing' the stock with a target price of Rs 2,000 on it.



(Disclaimer: Recommendations, suggestions, views and opinions given by the experts are their own. These do not represent the views of Business Today)

Also read: Hero MotoCorp, Tata Motors, Eicher Motors, Ashok Leyland: Auto stocks that analysts like post May sales data

Also read: Coal India shares: OFS opens for retail investors today; here are stock price targets"	"Chris Wood, the Global Head of Equity Strategy of Jefferies, has added AU Small Finance Bank to his India portfolio, with a 3 per cent weightage.
Just a week earlier, the global stock guru had added food delivery platform Zomato to his India portfolio with a 4 per cent weight.
AU Small Finance Bank will be part of GREED & Fear's long-only India portfolio.
Subsequently, the lending sector has a total weightage of 35 per cent in Wood's portfolio after the addition of AU Small Finance Bank.
Shares of CAMS dropped about 2 per cent to Rs 2198.15 on Friday, while AU Small Finance Bank was trading about 2 per cent up at Rs 778.85 during the session."	3 days ago
