sNo	Company Name	Full Company Name	sc Performance	sc Valuation	sc Growth	sc Profitability	sc Entry Point	sc Red Flags	Income Statements	2019 Total Revenue	2019 EBITDA	2019 Net Income	2019 PBT	2020 Total Revenue	2020 EBITDA	2020 Net Income	2020 PBT	2021 Total Revenue	2021 EBITDA	2021 Net Income	2021 PBT	2022 Total Revenue	2022 EBITDA	2022 Net Income	2022 PBT	PE Ratio
11	ATGL	Adani Total Gas Ltd	 Low Hasn't faired well - amongst the low performers	 High Seems to be overvalued vs the market average	 Avg Financials growth has been moderate for a few years	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Avg The stock has a moderate number of red flags	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 22.25%, vs industry avg of 16.03%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 1.61% to 2.09%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 38.16%, vs industry avg of 27.61%	1,805.64	513.68	228.70	356.52	1,918.94	639.15	436.32	547.40	1,739.96	734.21	462.82	631.21	3,079.31	814.50	509.40	679.04	141.00
12	APOLLOTYRE	Apollo Tyres Limited	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Avg Financials growth has been moderate for a few years	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 9.59%, vs industry avg of 8.65%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 24.87% to 26.04%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of -10.29%, vs industry avg of -5.59%	17,672.08	1,899.42	679.83	888.12	16,373.88	1,981.74	476.40	543.45	17,526.41	2,339.25	350.20	561.21	21,071.16	2,712.52	638.61	847.69	22.51
13	AMBUJACEM	Ambuja Cements Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Low Lagging behind the market in financials growth	 High Showing good signs of profitability & efficiency	BadThe stock is overpriced and in the overbought zone	 Avg The stock has a moderate number of red flags	Income statement not found	27,704.26	5,197.70	2,095.00	3,875.31	24,980.20	5,293.59	2,365.44	3,991.59	29,338.13	6,462.62	2,780.38	5,164.47	—	—	—	—	47.37
14	ALKEM	Alkem Laboratories Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Low Lagging behind the market in financials growth	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 13.23%, vs industry avg of 7.66%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 3% to 3.61%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 13.03%, vs industry avg of 4.09%	7,444.89	1,202.47	760.51	954.66	8,448.58	1,577.61	1,127.07	1,259.79	9,098.22	2,175.60	1,585.02	1,842.10	10,796.84	2,200.61	1,645.62	1,844.28	41.17
15	APOLLOHOSP	Apollo Hospitals Enterprise Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Low Lagging behind the market in financials growth	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 15.48%, vs industry avg of 12.6%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 25.81% to 27.58%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 36.72%, vs industry avg of 28.13%	9,648.90	1,095.10	236.00	372.60	11,472.10	1,812.50	454.90	660.00	10,665.60	1,243.00	150.40	220.70	15,034.90	2,557.40	1,055.60	1,578.10	86.72
16	ASTRAL	Astral Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Avg Financials growth has been moderate for a few years	 High Showing good signs of profitability & efficiency	BadThe stock is overpriced and in the overbought zone	 Low No red flag found	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 18.4%, vs industry avg of 16.1%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 5.61% to 6.37%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 27.31%, vs industry avg of 28.86%	2,522.70	396.70	195.80	283.40	2,590.00	453.40	247.90	306.10	3,201.40	662.60	404.40	533.00	4,428.90	788.30	483.80	648.50	112.36
17	AXISBANK	Axis Bank Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Avg Financials growth has been moderate for a few years	 High Showing good signs of profitability & efficiency	 Good The stock is underpriced and is not in the overbought zone	 Low No red flag found	Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 8.38%, vs industry avg of 10.26%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 14.31% to 13.22%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 29%, vs industry avg of 17.6%	70,232.40	8,329.23	5,038.60	7,592.06	80,057.67	6,086.12	1,853.12	5,280.05	77,974.28	10,725.91	7,195.50	9,750.08	86,114.19	19,975.05	14,119.29	18,929.46	27.72
18	AUROPHARMA	Aurobindo Pharma Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Low Lagging behind the market in financials growth	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 9.71%, vs industry avg of 7.66%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 7.77% to 7.99%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 2.84%, vs industry avg of 4.09%	19,721.57	4,021.90	2,364.73	3,091.35	23,290.38	5,014.88	2,845.14	3,743.04	28,404.97	8,473.47	5,334.84	7,343.59	23,891.87	4,547.90	2,648.15	3,372.74	20.18
19	ASIANPAINT	Asian Paints Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Low Lagging behind the market in financials growth	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 10.86%, vs industry avg of 11.39%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 64.73% to 63.19%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 9.34%, vs industry avg of 8.22%	19,513.90	4,038.71	2,155.92	3,306.10	20,566.30	4,511.87	2,705.17	3,629.04	22,044.44	5,187.25	3,139.29	4,304.35	29,512.86	5,099.49	3,030.57	4,187.72	75.04
20	AUBANK	AU Small Finance Bank Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Avg Financials growth has been moderate for a few years	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 27.04%, vs industry avg of 13.3%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 2.78% to 4.92%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 6.57%, vs industry avg of 18.24%	3,411.04	641.88	381.81	580.13	4,991.97	1,002.59	674.78	913.97	6,370.98	1,562.87	1,170.68	1,458.50	6,915.42	1,594.23	1,129.82	1,454.06	35.12
21	ASHOKLEY	Ashok Leyland Ltd	 Low Hasn't faired well - amongst the low performers	 High Seems to be overvalued vs the market average	 Avg Financials growth has been moderate for a few years	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 2.55%, vs industry avg of 3.36%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 71.77% to 69.02%	33,795.77	5,049.46	2,078.70	2,871.66	22,522.69	3,290.80	336.67	739.16	20,047.68	2,669.18	-165.23	-67.08	26,772.99	2,535.42	-358.61	-199.59	35.53
22	BHARATFORG	Bharat Forge Ltd	 Low Hasn't faired well - amongst the low performers	 High Seems to be overvalued vs the market average	 Avg Financials growth has been moderate for a few years	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 10.23%, vs industry avg of 17.33%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 1.83% to 1.43%	10,348.52	2,246.98	1,032.16	1,598.97	8,243.70	1,180.75	349.83	461.70	6,505.16	694.43	-126.39	-25.46	10,833.99	2,271.22	1,081.76	1,380.51	70.72
23	BAJAJFINSV	Bajaj Finserv Ltd	 Low Hasn't faired well - amongst the low performers	 High Seems to be overvalued vs the market average	 Avg Financials growth has been moderate for a few years	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 22.8%, vs industry avg of 16.26%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 12.13% to 5.93%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 15.04%, vs industry avg of -0.88%	42,606.93	8,380.83	3,219.04	8,154.74	54,352.13	8,758.45	3,369.13	8,301.66	60,591.57	10,360.80	4,470.46	9,862.34	68,438.98	11,833.31	4,556.77	11,270.58	36.57
24	BERGEPAINT	Berger Paints India Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Low Lagging behind the market in financials growth	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 13.63%, vs industry avg of 11.39%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 17.12% to 18.91%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 11.95%, vs industry avg of 8.22%	6,121.89	994.67	494.30	765.16	6,434.34	1,121.21	657.81	883.16	6,869.08	1,233.86	719.75	978.62	8,830.23	1,399.52	832.82	1,122.29	73.73
25	BATAINDIA	Bata India Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Low Lagging behind the market in financials growth	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of -0.62%, vs industry avg of 4.56%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 30.64% to 23.77%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of -8.31%, vs industry avg of 7.62%	2,999.32	556.00	328.98	477.67	3,124.79	911.74	328.94	487.23	1,802.57	256.23	-89.32	-116.64	2,443.71	481.11	103.01	139.72	62.79
26	BAJAJ-AUTO	Bajaj Auto Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Low Lagging behind the market in financials growth	 High Showing good signs of profitability & efficiency	 Good The stock is underpriced and is not in the overbought zone	 Low No red flag found	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 9.04%, vs industry avg of 6.78%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 35.57% to 39.5%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 8.61%, vs industry avg of 2.78%	32,393.87	7,225.75	4,927.61	6,955.58	31,764.73	6,941.72	5,211.91	6,692.13	29,323.86	6,507.46	4,857.02	6,241.43	35,824.89	7,930.10	6,165.87	7,651.68	22.07
27	BALKRISIND	Balkrishna Industries Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Low Lagging behind the market in financials growth	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 17.04%, vs industry avg of 8.65%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 7.42% to 10.79%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 14.9%, vs industry avg of -5.59%	5,428.16	1,521.61	773.65	1,176.56	5,062.02	1,523.92	959.65	1,139.52	5,955.35	1,982.98	1,177.53	1,554.92	8,733.04	2,446.87	1,435.38	1,982.15	42.00
28	BANDHANBNK	Bandhan Bank Ltd	 Low Hasn't faired well - amongst the low performers	 High Seems to be overvalued vs the market average	 Low Lagging behind the market in financials growth	 High Showing good signs of profitability & efficiency	 Good The stock is underpriced and is not in the overbought zone	 Low No red flag found	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 31.04%, vs industry avg of 10.26%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 1.07% to 2.56%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of -35.33%, vs industry avg of 17.6%	7,706.42	3,091.23	1,951.51	3,013.06	12,434.69	4,133.67	3,023.73	4,053.41	14,546.46	3,051.72	2,205.46	2,948.66	16,693.94	238.66	125.79	128.62	19.36
29	BANKINDIA	Bank of India Ltd	 Avg Price return has been average, nothing exciting	 Avg Can be considered moderately valued vs the market	 Low Lagging behind the market in financials growth	 High Showing good signs of profitability & efficiency	 Good The stock is underpriced and is not in the overbought zone	 Low No red flag found	Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of -0.01%, vs industry avg of 8.25%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 8.09% to 5.31%	45,867.06	-8,214.25	-5,426.57	-8,587.09	49,277.83	-4,299.70	-3,051.04	-4,691.66	47,632.16	3,539.70	2,082.77	3,159.61	46,372.64	6,026.51	3,492.57	5,654.83	7.83
30	BANKBARODA	Bank of Baroda Ltd	 Avg Price return has been average, nothing exciting	 Avg Can be considered moderately valued vs the market	 Avg Financials growth has been moderate for a few years	 High Showing good signs of profitability & efficiency	 Good The stock is underpriced and is not in the overbought zone	 Low No red flag found	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 10.87%, vs industry avg of 8.25%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 9.14% to 10.05%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 34.03%, vs industry avg of 69.66%	60,793.30	2,472.83	1,100.09	1,524.58	91,086.03	463.32	927.75	-1,233.91	89,567.63	7,730.47	1,547.66	6,373.16	87,780.19	11,446.54	7,849.69	10,008.30	6.57
