sNo,Company Name,Full Company Name,sc Performance,sc Valuation,sc Growth,sc Profitability,sc Entry Point,sc Red Flags,Income Statements,2019 Total Revenue,2019 EBITDA,2019 Net Income,2019 PBT,2020 Total Revenue,2020 EBITDA,2020 Net Income,2020 PBT,2021 Total Revenue,2021 EBITDA,2021 Net Income,2021 PBT,2022 Total Revenue,2022 EBITDA,2022 Net Income,2022 PBT,PE Ratio,Entry_point_Sentiment,Growth_Sentiment,Profitability_Sentiment,RedFlag_Sentiment,Performance_Sentiment,Valuation_Sentiment,Sentiment,News Sentiment Score
11.0,AEGISCHEM,Aegis Logistics Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Avg Financials growth has been moderate for a few years, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 3.48%, vs industry avg of 9.98%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 11.83% to 8.72%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 24.56%, vs industry avg of 11.58%",5624.01,379.06,221.39,302.33,7216.09,309.40,99.60,207.57,3880.33,424.53,223.40,335.62,4669.72,573.09,357.51,471.98,26.04,1.0,1.0,2.0,2.0,1.0,0.0,1.1666666666666667,0.0
12.0,ADANIPOWER,Adani Power Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Avg The stock has a moderate number of red flags,"Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 6.59%, vs industry avg of 8.04%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 16.55% to 15.14%",26361.63,7431.28,-984.40,-975.86,27841.81,6056.40,-2274.77,-2264.92,28149.68,10596.72,1269.98,2288.74,31686.47,13789.45,4911.58,6577.13,9.93,1.0,0.0,2.0,1.0,1.0,0.0,0.8333333333333334,0.5642666666666667
13.0,ADANIENT,Adani Enterprises Ltd, High The creamy layer - amongst the top performing stocks, High Seems to be overvalued vs the market average, Avg Financials growth has been moderate for a few years, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Avg The stock has a moderate number of red flags,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 13.52%, vs industry avg of 10.25%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 45.63% to 53.37%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of -4.7%, vs industry avg of 11.4%",41579.22,2473.56,717.14,458.72,44414.69,3166.71,1138.17,1122.33,40290.93,2999.96,922.64,1085.97,70432.69,4725.71,776.56,952.05,123.63,1.0,1.0,2.0,1.0,2.0,0.0,1.1666666666666667,0.4294
14.0,3MINDIA,3M India Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 6.93%, vs industry avg of 3.57%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 61.31% to 72.55%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 2.47%, vs industry avg of -0.64%",3076.69,595.46,366.18,550.58,3032.45,495.56,322.18,432.57,2629.57,284.23,162.39,219.93,3372.96,426.35,271.96,367.51,66.26,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0
15.0,ABBOTINDIA,Abbott India Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 11.04%, vs industry avg of 7.66%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 1.53% to 1.67%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 23.62%, vs industry avg of 4.09%",3791.89,718.02,450.33,698.85,4207.53,870.84,592.93,802.70,4390.92,1002.36,690.69,925.95,4996.48,1164.93,798.70,1079.73,48.77,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.9831
16.0,AIAENG,AIA Engineering Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 9.63%, vs industry avg of 9.13%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 4.3% to 4.27%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 6.29%, vs industry avg of 17.99%",3190.42,784.36,510.81,694.38,3111.89,826.68,590.36,718.73,3053.69,831.34,566.13,729.65,3722.84,881.89,619.68,781.27,28.79,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0
17.0,ATGL,Adani Total Gas Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Avg Financials growth has been moderate for a few years, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Avg The stock has a moderate number of red flags,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 22.25%, vs industry avg of 16.03%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 1.61% to 2.09%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 38.16%, vs industry avg of 27.61%",1805.64,513.68,228.70,356.52,1918.94,639.15,436.32,547.40,1739.96,734.21,462.82,631.21,3079.31,814.50,509.40,679.04,139.07,1.0,1.0,2.0,1.0,0.0,0.0,0.8333333333333334,0.0
18.0,AAVAS,Aavas Financiers Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth," Avg Average profitability - not good, not bad", Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 33.71%, vs industry avg of 14.47%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 0.29% to 0.7%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 44.12%, vs industry avg of 6.14%",711.17,267.57,176.03,257.85,903.35,321.50,249.05,301.94,1105.52,373.17,288.93,352.56,1305.65,476.46,355.19,452.70,24.92,1.0,0.0,1.0,2.0,0.0,0.0,0.6666666666666666,0.0
19.0,AMARAJABAT,Amara Raja Batteries Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Good The stock is underpriced and is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 10.34%, vs industry avg of 7.32%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 26.6% to 30.54%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 1.39%, vs industry avg of 28.51%",6839.88,998.26,483.23,730.11,6894.22,1153.59,660.80,840.66,7237.14,1203.04,646.83,873.35,8775.13,1101.94,512.57,691.12,15.38,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.7744
20.0,AJANTPHARM,Ajanta Pharma Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency,BadThe stock is overpriced and in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 11.49%, vs industry avg of 7.66%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 1.04% to 1.16%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 7.05%, vs industry avg of 4.09%",2076.45,587.51,386.97,514.27,2680.06,771.60,467.70,663.97,2915.67,1024.54,653.87,900.18,3456.67,1044.98,712.68,909.48,31.16,0.0,0.0,2.0,2.0,1.0,0.0,0.8333333333333334,0.0
21.0,ALKYLAMINE,Alkyl Amines Chemicals Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency,BadThe stock is overpriced and in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 25.42%, vs industry avg of 8.74%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 1.07% to 1.87%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 34.89%, vs industry avg of 15.42%",850.35,168.29,83.73,130.18,1032.73,296.87,215.28,259.71,1249.39,436.09,295.35,400.70,1556.98,340.69,224.89,302.11,56.08,0.0,0.0,2.0,2.0,1.0,0.0,0.8333333333333334,0.0
22.0,APOLLOTYRE,Apollo Tyres Limited," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency,BadThe stock is overpriced and in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 9.59%, vs industry avg of 8.65%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 24.87% to 26.04%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of -10.29%, vs industry avg of -5.59%",17672.08,1899.42,679.83,888.12,16373.88,1981.74,476.40,543.45,17526.41,2339.25,350.20,561.21,21071.16,2712.52,638.61,847.69,23.30,0.0,0.0,2.0,2.0,1.0,0.0,0.8333333333333334,0.99145
23.0,AMBER,Amber Enterprises India Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 20.62%, vs industry avg of 3.02%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 2.96% to 6.6%",2761.94,223.22,93.67,135.93,3970.95,318.22,158.40,190.74,3063.62,254.30,81.58,120.13,4239.63,310.01,109.19,154.27,44.71,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.9887
24.0,AMBUJACEM,Ambuja Cements Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Avg The stock has a moderate number of red flags,Income statement not found,27704.26,5197.70,2095.00,3875.31,24980.20,5293.59,2365.44,3991.59,29338.13,6462.62,2780.38,5164.47,0,0,0,0,47.02,1.0,0.0,2.0,1.0,1.0,0.0,0.8333333333333334,-0.18889999999999998
25.0,ALKEM,Alkem Laboratories Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 13.23%, vs industry avg of 7.66%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 3% to 3.61%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 13.03%, vs industry avg of 4.09%",7444.89,1202.47,760.51,954.66,8448.58,1577.61,1127.07,1259.79,9098.22,2175.60,1585.02,1842.10,10796.84,2200.61,1645.62,1844.28,41.48,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.2787
26.0,APLLTD,Alembic Pharmaceuticals Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 11.51%, vs industry avg of 7.66%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 1.61% to 1.79%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 5.26%, vs industry avg of 4.09%",3944.06,882.96,584.37,749.32,4610.69,1184.30,828.82,999.82,5480.42,1567.58,1146.50,1368.08,5356.25,924.63,520.94,620.11,33.18,1.0,0.0,2.0,2.0,0.0,0.0,0.8333333333333334,0.0
27.0,APOLLOHOSP,Apollo Hospitals Enterprise Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 15.48%, vs industry avg of 12.6%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 25.81% to 27.58%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 36.72%, vs industry avg of 28.13%",9648.90,1095.10,236.00,372.60,11472.10,1812.50,454.90,660.00,10665.60,1243.00,150.40,220.70,15034.90,2557.40,1055.60,1578.10,86.48,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0
28.0,APARINDS,Apar Industries Ltd, High The creamy layer - amongst the top performing stocks, High Seems to be overvalued vs the market average, Avg Financials growth has been moderate for a few years, High Showing good signs of profitability & efficiency, Avg The stock is not in the overbought zone, Avg The stock has a moderate number of red flags,"Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 14.04%, vs industry avg of 15.76%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 15.91% to 15.27%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 7.77%, vs industry avg of 25.01%",7978.90,506.01,136.06,216.22,7443.44,510.67,135.15,169.41,6406.63,458.47,160.50,208.27,9352.60,610.58,256.73,342.00,18.21,1.0,1.0,2.0,1.0,2.0,0.0,1.1666666666666667,0.0
