sNo,Company Name,Full Company Name,sc Performance,sc Valuation,sc Growth,sc Profitability,sc Entry Point,sc Red Flags,Income Statements,2019 Total Revenue,2019 EBITDA,2019 Net Income,2019 PBT,2020 Total Revenue,2020 EBITDA,2020 Net Income,2020 PBT,2021 Total Revenue,2021 EBITDA,2021 Net Income,2021 PBT,2022 Total Revenue,2022 EBITDA,2022 Net Income,2022 PBT,PE Ratio,Entry_point_Sentiment,Growth_Sentiment,Profitability_Sentiment,RedFlag_Sentiment,Performance_Sentiment,Valuation_Sentiment
12,ADANIPOWER,Adani Power Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Avg The stock has a moderate number of red flags,"Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 6.59%, vs industry avg of 8.04%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 16.55% to 15.14%","26,361.63","7,431.28",-984.40,-975.86,"27,841.81","6,056.40","-2,274.77","-2,264.92","28,149.68","10,596.72","1,269.98","2,288.74","31,686.47","13,789.45","4,911.58","6,577.13",9.93,1,0,2,1,1,0
13,ADANIENT,Adani Enterprises Ltd, High The creamy layer - amongst the top performing stocks, High Seems to be overvalued vs the market average, Avg Financials growth has been moderate for a few years, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Avg The stock has a moderate number of red flags,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 13.52%, vs industry avg of 10.25%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 45.63% to 53.37%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of -4.7%, vs industry avg of 11.4%","41,579.22","2,473.56",717.14,458.72,"44,414.69","3,166.71","1,138.17","1,122.33","40,290.93","2,999.96",922.64,"1,085.97","70,432.69","4,725.71",776.56,952.05,123.63,1,1,2,1,2,0
14,3MINDIA,3M India Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 6.93%, vs industry avg of 3.57%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 61.31% to 72.55%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 2.47%, vs industry avg of -0.64%","3,076.69",595.46,366.18,550.58,"3,032.45",495.56,322.18,432.57,"2,629.57",284.23,162.39,219.93,"3,372.96",426.35,271.96,367.51,66.26,1,0,2,2,1,0
15,ABBOTINDIA,Abbott India Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 11.04%, vs industry avg of 7.66%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 1.53% to 1.67%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 23.62%, vs industry avg of 4.09%","3,791.89",718.02,450.33,698.85,"4,207.53",870.84,592.93,802.70,"4,390.92","1,002.36",690.69,925.95,"4,996.48","1,164.93",798.70,"1,079.73",48.77,1,0,2,2,1,0
16,AIAENG,AIA Engineering Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 9.63%, vs industry avg of 9.13%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 4.3% to 4.27%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 6.29%, vs industry avg of 17.99%","3,190.42",784.36,510.81,694.38,"3,111.89",826.68,590.36,718.73,"3,053.69",831.34,566.13,729.65,"3,722.84",881.89,619.68,781.27,28.79,1,0,2,2,1,0
17,ATGL,Adani Total Gas Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Avg Financials growth has been moderate for a few years, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Avg The stock has a moderate number of red flags,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 22.25%, vs industry avg of 16.03%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 1.61% to 2.09%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 38.16%, vs industry avg of 27.61%","1,805.64",513.68,228.70,356.52,"1,918.94",639.15,436.32,547.40,"1,739.96",734.21,462.82,631.21,"3,079.31",814.50,509.40,679.04,139.07,1,1,2,1,0,0
18,AAVAS,Aavas Financiers Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth," Avg Average profitability - not good, not bad", Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 33.71%, vs industry avg of 14.47%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 0.29% to 0.7%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 44.12%, vs industry avg of 6.14%",711.17,267.57,176.03,257.85,903.35,321.50,249.05,301.94,"1,105.52",373.17,288.93,352.56,"1,305.65",476.46,355.19,452.70,24.92,1,0,1,2,0,0
19,AMARAJABAT,Amara Raja Batteries Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Good The stock is underpriced and is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 10.34%, vs industry avg of 7.32%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 26.6% to 30.54%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 1.39%, vs industry avg of 28.51%","6,839.88",998.26,483.23,730.11,"6,894.22","1,153.59",660.80,840.66,"7,237.14","1,203.04",646.83,873.35,"8,775.13","1,101.94",512.57,691.12,15.38,2,0,2,2,0,0
20,AJANTPHARM,Ajanta Pharma Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency,BadThe stock is overpriced and in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 11.49%, vs industry avg of 7.66%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 1.04% to 1.16%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 7.05%, vs industry avg of 4.09%","2,076.45",587.51,386.97,514.27,"2,680.06",771.60,467.70,663.97,"2,915.67","1,024.54",653.87,900.18,"3,456.67","1,044.98",712.68,909.48,31.16,0,0,2,2,1,0
21,ALKYLAMINE,Alkyl Amines Chemicals Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency,BadThe stock is overpriced and in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 25.42%, vs industry avg of 8.74%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 1.07% to 1.87%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 34.89%, vs industry avg of 15.42%",850.35,168.29,83.73,130.18,"1,032.73",296.87,215.28,259.71,"1,249.39",436.09,295.35,400.70,"1,556.98",340.69,224.89,302.11,56.08,0,0,2,2,1,0
22,APOLLOTYRE,Apollo Tyres Limited," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency,BadThe stock is overpriced and in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 9.59%, vs industry avg of 8.65%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 24.87% to 26.04%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of -10.29%, vs industry avg of -5.59%","17,672.08","1,899.42",679.83,888.12,"16,373.88","1,981.74",476.40,543.45,"17,526.41","2,339.25",350.20,561.21,"21,071.16","2,712.52",638.61,847.69,23.30,0,0,2,2,1,0
23,AMBER,Amber Enterprises India Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 20.62%, vs industry avg of 3.02%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 2.96% to 6.6%","2,761.94",223.22,93.67,135.93,"3,970.95",318.22,158.40,190.74,"3,063.62",254.30,81.58,120.13,"4,239.63",310.01,109.19,154.27,44.71,1,0,2,2,1,0
24,AMBUJACEM,Ambuja Cements Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Avg The stock has a moderate number of red flags,Income statement not found,"27,704.26","5,197.70","2,095.00","3,875.31","24,980.20","5,293.59","2,365.44","3,991.59","29,338.13","6,462.62","2,780.38","5,164.47",—,—,—,—,47.02,1,0,2,1,1,0
25,ALKEM,Alkem Laboratories Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 13.23%, vs industry avg of 7.66%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 3% to 3.61%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 13.03%, vs industry avg of 4.09%","7,444.89","1,202.47",760.51,954.66,"8,448.58","1,577.61","1,127.07","1,259.79","9,098.22","2,175.60","1,585.02","1,842.10","10,796.84","2,200.61","1,645.62","1,844.28",41.48,1,0,2,2,1,0
26,APLLTD,Alembic Pharmaceuticals Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 11.51%, vs industry avg of 7.66%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 1.61% to 1.79%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 5.26%, vs industry avg of 4.09%","3,944.06",882.96,584.37,749.32,"4,610.69","1,184.30",828.82,999.82,"5,480.42","1,567.58","1,146.50","1,368.08","5,356.25",924.63,520.94,620.11,33.18,1,0,2,2,0,0
27,APOLLOHOSP,Apollo Hospitals Enterprise Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 15.48%, vs industry avg of 12.6%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 25.81% to 27.58%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 36.72%, vs industry avg of 28.13%","9,648.90","1,095.10",236.00,372.60,"11,472.10","1,812.50",454.90,660.00,"10,665.60","1,243.00",150.40,220.70,"15,034.90","2,557.40","1,055.60","1,578.10",86.48,1,0,2,2,1,0
28,APARINDS,Apar Industries Ltd, High The creamy layer - amongst the top performing stocks, High Seems to be overvalued vs the market average, Avg Financials growth has been moderate for a few years, High Showing good signs of profitability & efficiency, Avg The stock is not in the overbought zone, Avg The stock has a moderate number of red flags,"Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 14.04%, vs industry avg of 15.76%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 15.91% to 15.27%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 7.77%, vs industry avg of 25.01%","7,978.90",506.01,136.06,216.22,"7,443.44",510.67,135.15,169.41,"6,406.63",458.47,160.50,208.27,"9,352.60",610.58,256.73,342.00,18.21,1,1,2,1,2,0
29,APLAPOLLO,APL Apollo Tubes Ltd, High The creamy layer - amongst the top performing stocks, High Seems to be overvalued vs the market average, Avg Financials growth has been moderate for a few years, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 27.23%, vs industry avg of 16.1%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 11.57% to 18.84%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 29.65%, vs industry avg of 28.86%","7,164.03",404.55,148.25,226.94,"7,745.41",499.52,237.97,296.34,"8,535.69",714.65,360.16,545.79,"13,103.82",985.76,557.29,832.32,53.05,1,1,2,2,2,0
